date,close,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2022-01-07,41.090984,0.0,58.92533985137939,0.0,0.0,10000,0,0,10000,0.0,0.0,0.18418393,0.051996827,0.0,0.4900461054563855
2022-01-10,43.172916,0.0,59.178087310791014,0.0,0.0,10000,0,0,10000,0.0,0.0,0.24418226,0.05066645,0.0,0.5796068950784957
2022-01-11,45.12694,0.0,59.427301483154295,0.0,0.0,10000,0,0,10000,0.0,0.0,0.3004945,0.04526043,0.0,0.666334649338258
2022-01-12,46.845802,0.0,59.657371292114256,0.0,0.0,10000,0,0,10000,0.0,0.0,0.35002962,0.038089514,0.0,0.7436120831398852
2022-01-13,48.302895,0.0,59.85035194396973,0.0,0.0,10000,0,0,10000,0.0,0.0,0.39202097,0.031103969,0.0,0.8086896549902749
2022-01-14,49.479656,0.0,59.986907424926756,0.0,0.0,10000,0,0,10000,0.0,0.0,0.42593357,0.024362087,0.0,0.8619625348553807
2022-01-18,50.351395,0.0,60.04694366455078,0.0,0.0,10000,0,0,10000,0.0,0.0,0.45105582,0.01761806,0.0,0.9038425038089513
2022-01-19,50.919567,0.0,60.0103490447998,0.0,0.0,10000,0,0,10000,0.0,0.0,0.46742976,0.011284113,0.0,0.9342720660062971
2022-01-20,51.174454,0.0,59.858192901611325,0.0,0.0,10000,0,0,10000,0.0,0.0,0.47477522,0.0050057173,0.0,0.9538599750828455
2022-01-21,51.138676,0.0,59.57627922058106,0.0,0.0,10000,0,0,10000,0.0,0.0,0.47374415,-0.0006991625,0.0,0.9625961443102515
2022-01-24,50.787174,0.0,59.15679718017578,0.0,0.0,10000,0,0,10000,0.0,0.0,0.46361437,-0.0068734884,0.0,0.9613723181153093
2022-01-25,50.07199,0.0,58.60029296875,0.0,0.0,10000,0,0,10000,0.0,0.0,0.4430038,-0.014081955,0.0,0.949264381256665
2022-01-26,49.006775,0.0,57.9149641418457,0.0,0.0,10000,0,0,10000,0.0,0.0,0.4123058,-0.021273673,0.0,0.9243300556728676
2022-01-27,47.648155,0.0,57.11669387817383,0.0,0.0,10000,0,0,10000,0.0,0.0,0.3731523,-0.027723074,0.0,0.8865078743889261
2022-01-28,46.040283,0.0,56.22713348388672,0.0,0.0,10000,0,0,10000,0.0,0.0,0.3268157,-0.033744693,0.0,0.8371109181904691
2022-01-31,44.19395,0.0,55.26951713562012,0.0,0.0,10000,0,0,10000,0.0,0.0,0.27360702,-0.04010254,0.0,0.7769602695241828
2022-02-01,42.19649,0.0,54.26642547607422,0.0,0.0,10000,0,0,10000,0.0,0.0,0.21604307,-0.045197546,0.0,0.7055517777205642
2022-02-02,40.159973,0.0,53.23882369995117,0.0,0.0,10000,0,0,10000,0.0,0.0,0.1573535,-0.048262715,0.0,0.6253590657890558
2022-02-03,38.18255,0.0,52.204393005371095,0.0,0.0,10000,0,0,10000,0.0,0.0,0.10036693,-0.04923868,0.0,0.5402410203650035
2022-02-04,36.341724,0.0,51.17615592956543,0.0,0.0,10000,0,0,10000,0.0,0.0,0.047316983,-0.048211157,0.0,0.45405699967560686
