date,open,high,low,close,volume,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-02-04,855.0,856.5,833.42,849.99,15812661.0,0.0,720.4528,855.2399499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.24082955976527967,-0.005499069838187043,-0.9999999999999977,0.6360790204939442
2021-02-05,845.0,864.77,838.97,852.23,18566637.0,0.0,727.0604,855.8405500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.23882889883265013,0.002635325121472132,-1.0000000000000016,0.6304440258029941
2021-02-08,869.67,877.77,854.75,863.42,20161719.0,0.0,733.2212,856.6295,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.2288345256915232,0.013130258263614136,-0.999999999999999,0.6331496387182542
2021-02-09,855.12,859.8,841.75,849.46,15027305.0,0.0,738.7303999999999,857.2510500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.24130293043237502,-0.016168261101202064,-0.9999999999999974,0.6465510032319979
2021-02-10,843.635,844.82,800.02,804.82,35723444.0,0.0,743.1115999999998,857.2814,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.2811732447326349,-0.052551032420596555,-1.0000000000000004,0.6299103624699127
2021-02-11,812.44,829.8799,801.725,811.66,21622753.0,0.0,747.9928,857.4941,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.2750640836704984,0.008498794761561568,-0.9999999999999979,0.5752840840708876
2021-02-12,801.26,817.33,785.3306,816.12,23768313.0,0.0,752.62,857.57215,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.27108062484928064,0.00549491166251892,-1.0000000000000009,0.5839560518240964
2021-02-16,818.0,821.0,792.44,796.22,19802324.0,0.0,757.1679999999999,857.6438499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.288854353670409,-0.024383669068274272,-1.0000000000000007,0.5895708477753251
2021-02-17,779.09,799.84,762.01,798.15,25878526.0,0.0,761.2633999999999,858.1279999999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.28713056992042024,0.0024239531787695334,-0.9999999999999976,0.5644842224941975
2021-02-18,780.9,794.69,776.27,787.38,17957058.0,0.0,765.0302,858.2589499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.29674981913667914,-0.013493704190941536,-0.9999999999999991,0.5669662628384665
2021-02-19,795.0,796.7899,777.37,781.3,18958255.0,0.0,767.8209999999999,858.3244,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.30218018452524503,-0.007721811577637294,-0.9999999999999989,0.5531381920020634
2021-02-22,762.64,768.5,710.2,714.5,36594555.0,0.0,769.1134,857.984,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3618427516233042,-0.08549852809420189,-1.0000000000000004,0.5452429537863486
2021-02-23,662.13,713.6099,619.0,698.84,66606882.0,0.0,771.0006000000001,857.578,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.37582951510766954,-0.021917424772568195,-1.0000000000000007,0.4562404064830883
2021-02-24,711.85,745.0,694.17,742.02,36766950.0,0.0,773.2996,857.1909999999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3372632030224271,0.061788106004235566,-1.0000000000000027,0.4338633540471796
2021-02-25,726.15,737.2066,670.58,682.22,38126722.0,0.0,774.7442,856.54565,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.390673704706019,-0.08059081965445669,-0.9999999999999991,0.4956844531405473
2021-02-26,700.0,706.7,659.51,675.5,39767316.0,0.0,775.4576,855.8761,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3966756875039076,-0.009850194951775082,-1.0000000000000002,0.41257553194365904
2021-03-01,690.11,719.0,685.05,718.43,27136239.0,0.0,777.1612,855.51345,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3583326634691819,0.06355292376017752,-0.9999999999999991,0.40260864348020403
