date,close,VWAP,signal,positions
2022-02-09 09:10:00,176.29,176.2529,1.0,1.0
2022-02-09 09:15:00,176.28,176.2539,1.0,0.0
2022-02-09 09:20:00,176.23,176.2516,0.0,-1.0
2022-02-09 09:25:00,176.27,176.2515,1.0,1.0
2022-02-09 09:30:00,176.08,176.2441,0.0,-1.0
2022-02-09 09:35:00,176.25,176.1933,1.0,1.0
2022-02-09 09:40:00,176.361,176.2141,1.0,0.0
2022-02-09 09:45:00,175.96,176.1884,0.0,-1.0
2022-02-09 09:50:00,175.405,176.0887,0.0,0.0
2022-02-09 09:55:00,175.14,176.0058,0.0,0.0
2022-02-09 10:00:00,175.24,175.9312,0.0,0.0
2022-02-09 10:05:00,175.61,175.8997,0.0,0.0
2022-02-09 10:10:00,175.74,175.8827,0.0,0.0
2022-02-09 10:15:00,175.4877,175.8642,0.0,0.0
2022-02-09 10:20:00,175.26,175.8356,0.0,0.0
2022-02-09 10:25:00,175.42,175.8153,0.0,0.0
2022-02-09 10:30:00,175.72,175.8069,0.0,0.0
2022-02-09 10:35:00,176.09,175.8153,1.0,1.0
2022-02-09 10:40:00,175.89,175.8197,1.0,0.0
2022-02-09 10:45:00,175.66,175.8182,0.0,-1.0
2022-02-09 10:50:00,175.56,175.8129,0.0,0.0
2022-02-09 10:55:00,175.4798,175.8031,0.0,0.0
2022-02-09 11:00:00,175.7838,175.7993,0.0,0.0
2022-02-09 11:05:00,175.7762,175.7994,0.0,0.0
2022-02-09 11:10:00,175.34,175.7904,0.0,0.0
2022-02-09 11:15:00,175.3855,175.7713,0.0,0.0
2022-02-09 11:20:00,175.6399,175.7657,0.0,0.0
2022-02-09 11:25:00,175.5701,175.7621,0.0,0.0
2022-02-09 11:30:00,175.45,175.7568,0.0,0.0
2022-02-09 11:35:00,175.62,175.7517,0.0,0.0
2022-02-09 11:40:00,175.62,175.7497,0.0,0.0
2022-02-09 11:45:00,175.47,175.7461,0.0,0.0
2022-02-09 11:50:00,175.565,175.7435,0.0,0.0
2022-02-09 11:55:00,175.3227,175.7373,0.0,0.0
2022-02-09 12:00:00,175.4248,175.7308,0.0,0.0
2022-02-09 12:05:00,175.57,175.7268,0.0,0.0
2022-02-09 12:10:00,175.4508,175.7226,0.0,0.0
2022-02-09 12:15:00,175.4807,175.7181,0.0,0.0
2022-02-09 12:20:00,175.52,175.7157,0.0,0.0
2022-02-09 12:25:00,175.621,175.7133,0.0,0.0
2022-02-09 12:30:00,175.5612,175.7111,0.0,0.0
2022-02-09 12:35:00,175.4783,175.7085,0.0,0.0
2022-02-09 12:40:00,175.8126,175.7083,1.0,1.0
2022-02-09 12:45:00,175.64,175.7083,0.0,-1.0
2022-02-09 12:50:00,175.66,175.7076,0.0,0.0
2022-02-09 12:55:00,175.71,175.707,1.0,1.0
2022-02-09 13:00:00,175.815,175.7078,1.0,0.0
2022-02-09 13:05:00,175.79,175.7091,1.0,0.0
2022-02-09 13:10:00,175.78,175.7101,1.0,0.0
2022-02-09 13:15:00,175.6401,175.7098,0.0,-1.0
2022-02-09 13:20:00,175.69,175.7096,0.0,0.0
2022-02-09 13:25:00,175.61,175.7091,0.0,0.0
2022-02-09 13:30:00,175.62,175.7083,0.0,0.0
2022-02-09 13:35:00,175.6268,175.7077,0.0,0.0
2022-02-09 13:40:00,175.57,175.7064,0.0,0.0
2022-02-09 13:45:00,175.735,175.706,1.0,1.0
2022-02-09 13:50:00,175.715,175.7064,1.0,0.0
2022-02-09 13:55:00,175.58,175.7055,0.0,-1.0
2022-02-09 14:00:00,175.6,175.7037,0.0,0.0
2022-02-09 14:05:00,175.7004,175.7036,0.0,0.0
2022-02-09 14:10:00,175.995,175.7061,1.0,1.0
2022-02-09 14:15:00,175.903,175.7096,1.0,0.0
2022-02-09 14:20:00,175.82,175.7111,1.0,0.0
2022-02-09 14:25:00,175.83,175.7118,1.0,0.0
2022-02-09 14:30:00,175.9101,175.7132,1.0,0.0
2022-02-09 14:35:00,175.87,175.7151,1.0,0.0
2022-02-09 14:40:00,176.025,175.7176,1.0,0.0
2022-02-09 14:45:00,176.065,175.7219,1.0,0.0
2022-02-09 14:50:00,175.83,175.724,1.0,0.0
2022-02-09 14:55:00,175.9,175.7256,1.0,0.0
2022-02-09 15:00:00,175.67,175.7257,0.0,-1.0
2022-02-09 15:05:00,175.61,175.7231,0.0,0.0
2022-02-09 15:10:00,175.36,175.7192,0.0,0.0
2022-02-09 15:15:00,175.17,175.7136,0.0,0.0
2022-02-09 15:20:00,175.24,175.7011,0.0,0.0
2022-02-09 15:25:00,175.3586,175.6952,0.0,0.0
2022-02-09 15:30:00,175.591,175.6925,0.0,0.0
2022-02-09 15:35:00,175.9,175.6943,1.0,1.0
2022-02-09 15:40:00,175.86,175.6978,1.0,0.0
2022-02-09 15:45:00,175.785,175.6982,1.0,0.0
2022-02-09 15:50:00,176.01,175.7015,1.0,0.0
2022-02-09 15:55:00,176.08,175.7169,1.0,0.0
2022-02-09 16:00:00,176.28,175.7381,1.0,0.0
2022-02-09 16:05:00,176.21,175.7465,1.0,0.0
2022-02-09 16:10:00,176.27,175.748,1.0,0.0
2022-02-09 16:15:00,176.22,175.7522,1.0,0.0
2022-02-09 16:20:00,176.3,175.7523,1.0,0.0
2022-02-09 16:25:00,176.39,175.7524,1.0,0.0
2022-02-09 16:30:00,176.4,175.7525,1.0,0.0
2022-02-09 16:35:00,176.34,175.7526,1.0,0.0
2022-02-09 16:40:00,176.42,175.7529,1.0,0.0
2022-02-09 16:45:00,176.42,175.7533,1.0,0.0
2022-02-09 16:50:00,176.41,175.7534,1.0,0.0
2022-02-09 16:55:00,176.41,175.7535,1.0,0.0
2022-02-09 17:00:00,176.4499,175.7535,1.0,0.0
2022-02-09 17:05:00,176.53,175.7624,1.0,0.0
2022-02-09 17:10:00,176.51,175.7624,1.0,0.0
